PLGDN;12.02.2005;19:00:00;SENRK;SAN REMO;Saint Vincent and the Grenadines;6507983;J8BS632;1283;69.28;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;12.02.2005;23:00:00;PLGDY;CEC PIONEER;Isle of Man;9015682;ZNZX4;2815;88.40;Polfracht Shipping Agency Ltd. ;OLIWSKIE
PLGDN;15.02.2005;01:00:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;17.02.2005;12:00:00;DELBC;SALONA;Honduras;7368994;HQHL9;886;55.69;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;19.02.2005;16:00:00;PLSWI;PALICA;Poland;7704057;SQIS;999;64.62;Ship-Service S.A.;NAB. CPN 2
PLGDN;20.02.2005;19:30:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.00;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;20.02.2005;18:00:00;DELBC;JOLANDA;Antigua and Barbuda;5298107;V2PH5;499;57.75;Polfracht Shipping Agency Ltd. ;PRZEMYS£OWE
PLGDN;21.02.2005;00:30:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE
PLGDN;21.02.2005;23:00:00;PLWLA;ICARUS III;Cyprus;9145413;P3WM9;21605;182.14;Polfracht Shipping Agency Ltd. ;"BPPP JETTY "" P """
PLGDN;26.02.2005;03:00:00;NLRTM;TURCHESE;Italy;9220354;IBLE;8428;136.00;SHIPPING CONNECTIONS SERVICES;OPP
PLGDN;27.02.2005;19:30:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.00;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;01.03.2005;17:00:00;PLGDY;SKAGICA;Norway;7431741;LAIB2;3913;110.53;Polfracht Shipping Agency Ltd. ;OBROÑCÓW POCZTY POLSKIEJ
PLGDN;01.03.2005;16:15:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;02.03.2005;17:30:00;DKKOL;SKANTIC;Saint Vincent and the Grenadines;7558626;J8WF5;1081;64.70;Polfracht Shipping Agency Ltd. ;WIŒLANE
