Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2008-01-02;11:10:00;TNSFA;OKSYWIE;Liberia;8502547;A8DS8;21460;195.27;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-01-03;20:00:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2466;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-05;11:50:00;LVVNT;VOLGOBALT-204;Russian Federation;8230326;UHPC;2457;113.90;KOSIOR SHIPPING COMPANY Sp. z o.o.;Port Barkowy
PLPLC;2008-01-07;10:40:00;NLDZL;DINTELBORG;Netherlands;9163685;PEAA;6205;133.00;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI POLICE
PLPLC;2008-01-07;00:25:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;POlice Port Barkowy
PLPLC;2008-01-08;16:45:00;SYTTS;SOTIRIA;Malta;7718242;9HIJ4;13677;164.33;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2008-01-08;11:55:00;LVVNT;OMSKIY 140;Russian Federation;8867052;U A N X;2470;108.36;KOSIOR SHIPPING COMPANY Sp. z o.o.;police port barkowy
PLPLC;2008-01-12;16:35:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-12;09:10:00;PLGDY;GLOBAL HELIOS;Antigua and Barbuda;9349980;V2CZ7;5164;119.95;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police port Morski
PLPLC;2008-01-13;09:00:00;PLSZZ;PORONIEC;Poland;7641475;SQHS;695;60.00;Ship-Service S.A.;CAL
PLPLC;2008-01-14;00:45:00;MACAS;PILICA;Malta;9154282;9HAKS6;11848;149.40;POLSTEAM SHIPPING AGENCY Ltd.;police m
PLPLC;2008-01-14;23:50:00;BEANR;ANCORA;Saint Vincent and the Grenadines;8012827;J8B2705;1010;69.90;NEPTUNE AGENCY Sp. z o.o. ;POLICE BARKOWY
PLPLC;2008-01-18;11:20:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-18;17:30:00;DKAAB;VOLGOBALT 244;Russian Federation;8230584;UAKW;2457;114.00;DAN SHIPPING & TRADING Co. Ltd. ;PM POLICE
PLPLC;2008-01-22;14:40:00;TNSFA;ISOLDA;Cyprus;9180360;P3JE8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;port morski -Police
PLPLC;2008-01-23;10:20:00;PLSZZ;PORONIEC;Poland;7641475;SQHS;695;60.00;Ship-Service S.A.;PPM
PLPLC;2008-01-23;23:55:00;PLSWI;PORONIEC;Poland;7641475;SQHS;695;60.00;Ship-Service S.A.;PPM
PLPLC;2008-01-24;06:00:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-25;20:45:00;PLSZZ;LADOGA 3;Belize;7304560;V3WP5;1511;81.00;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI
PLPLC;2008-01-25;18:30:00;MACAS;WADAG II;Panama;7725714;HPVT;11632;158.58;POLSTEAM SHIPPING AGENCY Ltd.;Police M.
PLPLC;2008-01-25;16:15:00;NOSOK;EOS;Norway;7528154;LAOJ4;3963;101.95;NEPTUNE AGENCY Sp. z o.o. ;MIJANKA
PLPLC;2008-01-29;21:20:00;MACAS;GARDNO;Panama;7725726;HPSL;11632;158.60;POLSTEAM SHIPPING AGENCY Ltd.;Police M.
PLPLC;2008-01-30;18:10:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-01-31;00:30:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-02-03;06:42:00;FIKOK;KEMIRA GAS;Belgium;9045807;ONCC;10018;143.12;DAN SHIPPING & TRADING Co. Ltd. ;mijanka
PLPLC;2008-02-05;07:05:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-02-05;08:50:00;MACAS;ROS;Panama;7725685;HPVW;11676;158.60;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-02-06;02:20:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-02-06;16:50:00;PLSZZ;AMARANTH;Norway;7816484;LAJT6;4382;118.36;Unibaltic Sp. z o.o.;HUTA SZCZECIN
PLPLC;2008-02-06;23:20:00;LVVNT;VOLGOBALT-204;Russian Federation;8230326;UHPC;2457;113.90;KOSIOR SHIPPING COMPANY Sp. z o.o.;police port barkowy
PLPLC;2008-02-06;13:25:00;ESSCI;PEWSUM;Antigua and Barbuda;9001930;V2NJ;1960;88.23;Ger Pol Shipping & Forwarding Co. Ltd. ;Police Port Morski
PLPLC;2008-02-09;21:38:00;PLGDY;THAMESTEEL 1;Marshall Islands;8611221;V7OI7;1984;89.31;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2008-02-10;06:55:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-02-12;16:00:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2466;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-02-13;15:30:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-02-13;12:00:00;TNSFA;ZIEMIA GORNOSLASKA;Liberia;8418734;A8DP3;17427;180.17;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-02-14;00:10:00;DKAAR;VOLGOBALT 244;Russian Federation;8230584;UAKW;2457;114.00;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-02-16;09:00:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Port Barkowy 
PLPLC;2008-02-18;16:30:00;LVVNT;OMSKIY 134;Russian Federation;8881711;UCIF;2544;108.40;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police port barkowy
PLPLC;2008-02-20;06:15:00;LTKLJ;SORMOVSKIY 49;Russian Federation;8332784;UAKQ;2478;114.02;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-02-20;18:20:00;DKRAN;SABINE;Saint Vincent and the Grenadines;7101891;J8BT2;2478;114.00;POSEIDON FRACHTCONTOR JUNGE Sp. z o.o.;PORT BARKOWY POLICE
PLPLC;2008-02-21;01:57:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-02-21;16:30:00;PLSZZ;OMSKIY 133;Russian Federation;8873336;UIWR;2528;108.40;DAN SHIPPING & TRADING Co. Ltd. ;BU£GARSKIE
PLPLC;2008-02-21;14:50:00;DKAAB;ROEL;Belize;8202757;V3AX3;1927;81.62;KOSIOR SHIPPING COMPANY Sp. z o.o.;police port morski
PLPLC;2008-02-22;11:50:00;LVVNT;VOLGO-BALT 211;Russian Federation;8230388;U.A.C.K.;2457;114.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;port barkowy
PLPLC;2008-02-23;07:15:00;NLAMS;BONDENAU;Antigua and Barbuda;9356854;V2CI5;2461;87.90;SHIP-TRANS-TOURIST CONSULTING Sp.j. A. Ma³dyk;Port Morski
PLPLC;2008-02-24;08:30:00;PLSZZ;TISTA;United Kingdom;7724021;ZDEG9;2096;83.80;DAN SHIPPING & TRADING Co. Ltd. ;port morski
PLPLC;2008-02-25;15:05:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-02-25;10:30:00;DEFLF;BETA;Germany;6713283;DFHD;1064;68.42;DAN SHIPPING & TRADING Co. Ltd. ;Port morski
PLPLC;2008-02-26;11:45:00;SELAA;NORDFJORD;Netherlands;9228930;PBIJ;2224;88.00;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI
PLPLC;2008-02-26;16:40:00;PLSZZ;STK 1005;Russian Federation;8422620;UCYS;1537;83.00;DAN SHIPPING & TRADING Co. Ltd. ;SEA PORT POLICE
PLPLC;2008-02-27;01:45:00;LTKLJ;SORMOVSKIY 41;Russian Federation;7833107;UAKR;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-02-27;18:20:00;NO888;EOS;Norway;7528154;LAOJ4;3963;101.95;NEPTUNE AGENCY Sp. z o.o. ;POLICE PORT MORSKI
PLPLC;2008-02-28;03:10:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;mijanka
PLPLC;2008-02-28;11:45:00;GBHUL;GALA;Antigua and Barbuda;8822040;V2OY9;2867;88.20;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police port Morski
PLPLC;2008-02-29;03:55:00;DKAAR;RUBYN;Saint Vincent and the Grenadines;8511885;J8B2973;1512;79.63;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI
PLPLC;2008-02-29;19:30:00;SYTTS;ARSEL STAR;Panama;8101020;3EHY3;10889;146.40;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI POLICE
PLPLC;2008-03-01;10:40:00;NOFRK;DINTELDIJK;Denmark;9346677;PHMJ;2984;89.95;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Morski
PLPLC;2008-03-02;03:15:00;NOTSX;AASVIK;Norway;8500898;LAPE5;3088;94.40;NEPTUNE AGENCY Sp. z o.o. ;MIJANKA
PLPLC;2008-03-04;11:30:00;TNSFA;ISOLDA;Cyprus;9180360;P3JE8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;port morski Police
PLPLC;2008-03-05;16:00:00;PLSZZ;BUKOWIEC;Poland;7704069;SQAV;695;60.00;Ship-Service S.A.;NAB. Port Morski
PLPLC;2008-03-05;02:30:00;PLSZZ;SORMOVSKIY 49;Russian Federation;8332784;UAKQ;2478;114.02;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2008-03-06;10:35:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-03-07;11:30:00;PLSZZ;WANI POINT;Barbados;7708405;8PTJ;2062;88.00;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2008-03-08;01:21:00;DERSK;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-03-08;05:40:00;LVVNT;OMSKIY-133;Russian Federation;8873336;UIWR;2528;108.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Barkowy
PLPLC;2008-03-09;23:40:00;DERSK;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-03-09;17:50:00;TNSFA;JAMNO;Panama;7725738;HPRX;11632;158.73;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-03-10;23:50:00;GBDUN;CELTIC CARRIER;United Kingdom;8516287;MPRF9;2565;89.11;SHIP-TRANS-TOURIST CONSULTING Sp.j. A. Ma³dyk;PORT MORSKI
PLPLC;2008-03-11;12:00:00;DKNAK;LORE D;Antigua and Barbuda;8026282;V2CU;1127;69.40;AHLMANN ZERSSEN Sp. z o.o.;Police Port Morski
PLPLC;2008-03-12;04:00:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-03-12;15:00:00;MACAS;WADAG II;Panama;7725714;HPVT;11632;158.58;POLSTEAM SHIPPING AGENCY Ltd.;port morski
PLPLC;2008-03-12;20:30:00;DKKOL;SORMOVSKIY 3053;Russian Federation;8222381;UIRT;3041;119.20;Ger Pol Shipping & Forwarding Co. Ltd. ;Port morski
PLPLC;2008-03-14;12:10:00;BEGRB;PATRIOT;Cyprus;9083885;P3SM5;2163;82.30;Ger Pol Shipping & Forwarding Co. Ltd. ;Port Morski
PLPLC;2008-03-15;14:50:00;DERSK;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-03-15;14:00:00;LTKLJ;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2466;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-03-15;20:45:00;DKNRS;TONJA;Saint Kitts and Nevis;5364669;V4OV;499;53.68;AHLMANN ZERSSEN Sp. z o.o.;Police Port Morski
PLPLC;2008-03-15;01:55:00;DEHAM;BRAMAU;Antigua and Barbuda;9280677;V2BJ9;2461;88.00;SHIP-TRANS-TOURIST CONSULTING Sp.j. A. Ma³dyk;PORT MORSKI POLICE
PLPLC;2008-03-16;14:15:00;PLSZZ;FRI LAKE;Bahamas;9195664;C6VU2;2216;89.40;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2008-03-17;10:00:00;SENRK;ROMI;Bahamas;8922266;C6US6;2373;88.25;Unibaltic Sp. z o.o.;police port morski
PLPLC;2008-03-18;10:50:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Port Barkowy
PLPLC;2008-03-18;21:10:00;LTKLJ;SATURN;Denmark;6604690;OUHO2;627;53.60;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Barkowy
PLPLC;2008-03-19;00:25:00;DKODE;RUBYN;Saint Vincent and the Grenadines;8511885;J8B2973;1512;79.63;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI
PLPLC;2008-03-19;15:25:00;NLTNZ;IMI;Bahamas;9063873;C6VT4;2715;89.90;Ger Pol Shipping & Forwarding Co. Ltd. ;Police Port Morski
PLPLC;2008-03-20;19:45:00;LTKLJ;SORMOVSKIY 41;Russian Federation;7833107;UAKR;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-03-20;15:10:00;ESALG;MATINELLI;Panama;7916818;H8PL;14379;160.38;KOSIOR SHIPPING COMPANY Sp. z o.o.;Port morski
PLPLC;2008-03-23;05:45:00;MACAS;PILICA;Malta;9154282;9HAKS6;11848;149.40;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-03-24;00:25:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-03-24;12:00:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. port morski
PLPLC;2008-03-25;21:20:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-03-25;09:30:00;TNSFA;SEA;Cambodia;9350537;XUHE3;6290;128.00;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-03-27;08:40:00;SYTTS;SOURIA;Syrian Arab Republic;9274331;YKRK;9611;138.00;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-03-27;07:20:00;LVVNT;OMSKIY-133;Russian Federation;8873336;UIWR;2528;108.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Barkowy
PLPLC;2008-03-28;19:15:00;PLSZZ;THURKUS;Poland;8915744;SPS2645;2561;87.96;INTERAGENT Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2008-03-28;18:55:00;LVVNT;VOLGOBALT 215;Russian Federation;8230405;UAPW;2457;114.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Barkowy
PLPLC;2008-03-29;15:50:00;SYTTS;THEKLA;Antigua and Barbuda;9259020;V2OI9;6301;132.23;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2008-03-30;16:00:00;DESTA;JAN V;Antigua and Barbuda;8504179;V2LA3;1749;80.70;Ger Pol Shipping & Forwarding Co. Ltd. ;Police Port Barkowy
PLPLC;2008-03-31;07:50:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-03-31;23:20:00;TNSFA;ARMIA LUDOWA;Liberia;8502535;ELUL7;21458;195.33;POLSTEAM SHIPPING AGENCY Ltd.;port morski Police
PLPLC;2008-04-01;02:00:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-04-01;04:50:00;DKNVD;FRI TIDE;Bahamas;9195676;C6VW4;2218;89.40;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-04-03;08:00:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. Port Morski
PLPLC;2008-04-04;11:25:00;NOSOK;NORDANHAV;Sweden;8914130;SCKO;5953;126.00;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2008-04-04;10:00:00;NLRTM;ETERNAL ISLAND;Panama;9168350;3FZM7;18108;169.03;KOSIOR SHIPPING COMPANY Sp. z o.o.;Port morski
PLPLC;2008-04-06;20:10:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-04-09;13:00:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-04-10;09:50:00;DKKAL;SICHEM PALACE;Singapore;9304318;S6AV8;5451;112.00;BARWIL AGENCIES POLAND;Police Mijanka jetty
PLPLC;2008-04-10;00:30:00;PLSZZ;BUKOWIEC;Poland;7704069;SQAV;695;60.00;Ship-Service S.A.;NAB. Port Morski
PLPLC;2008-04-11;10:20:00;TNSFA;ZIEMIA LODZKA;Liberia;8418746;A8DQ4;17458;179.97;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-04-12;00:05:00;DERSK;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-04-12;18:50:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-04-14;12:20:00;ILASH;SVYATAYA ALEKSANDRA;Panama;7734674;3ENZ2;11055;145.10;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2008-04-14;11:25:00;PLSZZ;SAVA LAKE;Latvia;8719073;YLHB;2030;74.65;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2008-04-16;13:20:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. PORT MORSKI
PLPLC;2008-04-16;10:15:00;MACAS;MAMRY II;Panama;7725702;HPVV;11676;158.86;POLSTEAM SHIPPING AGENCY Ltd.;Police M. 
PLPLC;2008-04-17;17:15:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;mijanka
PLPLC;2008-04-17;21:00:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-04-18;10:00:00;TNSFA;ZIEMIA CIESZYNSKA;Liberia;8418758;A8DP2;17464;179.96;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-04-20;08:00:00;DKRAN;DEIMA;Saint Vincent and the Grenadines;7041405;J8B2214;2481;114.20;POSEIDON FRACHTCONTOR JUNGE Sp. z o.o.;PORT BARKOWY
PLPLC;2008-04-21;10:00:00;LVVNT;VOLGO-BALT 211;Russian Federation;8230388;UACK;2457;114.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;POLICE, PORT BARKOWY
PLPLC;2008-04-21;14:00:00;BEANR;SEVERINA;Liberia;9440291;A8MA7;13696;167.50;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Morski
PLPLC;2008-04-22;23:20:00;MACAS;OKSYWIE;Liberia;8502547;A8DS8;21460;195.27;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-04-23;18:50:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-04-28;07:10:00;LVVNT;VOLGO-BALT 211;Russian Federation;8230388;U.A.C.K.;2457;114.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Barkowy
PLPLC;2008-04-29;19:50:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-04-30;17:10:00;TNSFA;PILICA;Malta;9154282;9HAKS6;11848;149.40;POLSTEAM SHIPPING AGENCY Ltd.;port morski Police
PLPLC;2008-05-01;07:20:00;NOOSL;APOLLO LYNX;Antigua and Barbuda;9282091;V2OX3;2914;96.30;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-03;00:00:00;PLGDY;CAILIN;Saint Vincent and the Grenadines;8016677;J8B2768;2120;82.50;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-03;05:12:00;SYTTS;ARDITA;Italy;9347023;ICHQ;9286;139.50;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-04;02:15:00;LVVNT;OMSKIY-141;Russian Federation;8873764;UGZK;2460;108.40;KOSIOR SHIPPING COMPANY Sp. z o.o.;POLICE PORT BARKOWY
PLPLC;2008-05-05;17:25:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-05-06;05:00:00;DK888;WILLEKE;Netherlands;9232486;PFBN;1435;79.99;AHLMANN ZERSSEN Sp. z o.o.;Górnoœl¹skie
PLPLC;2008-05-06;10:12:00;JOAQB;DUAL CONFIDENCE;Cyprus;9074729;C4GK2;15899;159.92;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-07;19:05:00;PLGDN;PAMIR;Antigua and Barbuda;9108439;V2KZ;2061;88.47;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-09;05:00:00;DKRAN;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2478;114.03;Fast Baltic - Nawigator;POLICE PORT BARKOWY
PLPLC;2008-05-09;19:40:00;MACAS;JAMNO;Panama;7725738;HPRX;11632;158.73;POLSTEAM SHIPPING AGENCY Ltd.;port morski
PLPLC;2008-05-10;11:20:00;DENHA;ANDREAS K;Panama;7632436;HPAC;10561;144.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Morski
PLPLC;2008-05-10;16:50:00;PLSWI;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. port morski
PLPLC;2008-05-11;11:30:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. port morski
PLPLC;2008-05-12;23:55:00;SEKOG;BW HELEN;Norway;9207039;LANH5;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;mijanka
PLPLC;2008-05-13;06:00:00;LVVNT;AVIAKONSTRUKTOR POLIKARPOV;Russian Federation;8136556;UEYW;2466;114.20;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Barkowy
PLPLC;2008-05-14;15:15:00;DENHA;BLUE SKY;Netherlands;9195767;PBLE;2545;88.60;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-15;16:00:00;GBSSS;SAVA OCEAN;Latvia;8719114;YLHA;2026;74.65;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2008-05-15;20:50:00;NOTSX;AASVIK;Norway;8500898;LAPE5;3088;94.40;NEPTUNE AGENCY Sp. z o.o. ;POLICE POMOST
PLPLC;2008-05-16;21:30:00;PLSZZ;THURKUS;Poland;8915744;SPS2645;2561;87.96;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2008-05-16;00:30:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. port morski
PLPLC;2008-05-17;01:20:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-05-17;16:45:00;TNSFA;MACIEJ RATAJ;Malta;8219322;9HEB7;21531;195.08;POLSTEAM SHIPPING AGENCY Ltd.;port morski Police
PLPLC;2008-05-19;03:45:00;LTKLJ;VEST;Denmark;5153395;OYPD2;300;43.60;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Barkowy
PLPLC;2008-05-19;10:30:00;LVVNT;AVIAKONSTRUKTOR POLIKARPOV;Russian Federation;8136556;UEYW;2466;114.20;KOSIOR SHIPPING COMPANY Sp. z o.o.;Police Port Barkowy
PLPLC;2008-05-20;13:10:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. cal
PLPLC;2008-05-22;21:45:00;NOSUN;BUMBI;Panama;9293870;H9CD;17951;170.70;KEYTRADE;POLICE PORT MORSKI
PLPLC;2008-05-22;08:05:00;LVVNT;VOLGO-BALT 211;Russian Federation;8230388;UAOK;2457;114.00;KOSIOR SHIPPING COMPANY Sp. z o.o.;Port Barkowy
PLPLC;2008-05-23;18:00:00;LTKLJ;SORMOVSKIY 42;Russian Federation;7833119;UAKY;2478;114.00;BARWIL AGENCIES POLAND;Police Port Barkowy
PLPLC;2008-05-23;07:50:00;NO888;NORDANHAV;Sweden;8914130;SCKO;5953;126.82;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI POLICE
PLPLC;2008-05-24;01:12:00;SEKOG;CORAL IVORY;Netherlands;9207039;PHPE;5818;116.00;DAN SHIPPING & TRADING Co. Ltd. ;POLICE MIJANKA
PLPLC;2008-05-26;12:20:00;PLSZZ;MAGDA D;Antigua and Barbuda;8407228;V2NA;1289;74.90;Fast Baltic - Nawigator;Police barkowy
PLPLC;2008-05-26;12:40:00;TNSFA;ZIEMIA ZAMOJSKA;Liberia;8207745;A8DT6;16696;180.25;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2008-05-26;13:00:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. port morski
