Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2010-12-16;23:00:00;RULED;SORMOVSKIY 53;Russian Federation;8628133;UAKX;2478;114.02;Wilhelmsen Ships Service Polska Sp. z o.o. ;PORT BARKOWY
PLPLC;2010-12-17;00:30:00;PLSZZ;M/T PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;Nab. PORT MORSKI
PLPLC;2010-12-17;18:20:00;NO888;AASHEIM;Norway;9247106;LAEN6;4112;107.05;NEPTUNE AGENCY Sp. z o.o. ;POLICE MIJANKA
PLPLC;2010-12-18;18:30:00;LTKLJ;OMSKIY 140;Russian Federation;8867052;UANX;2470;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2010-12-18;13:00:00;PLSZZ;ANDREA;Netherlands;9350939;PHGZ;2409;82.50;KOSIOR SHIPPING COMPANY Sp. z o.o.;PORT MORSKI
PLPLC;2010-12-20;09:00:00;PLSZZ;ZELENIKA;Saint Vincent and the Grenadines;7435137;J8B3272;2181;91.96;DAN SHIPPING & TRADING Co. Ltd. ;PORT MORSKI POLICE
PLPLC;2010-12-23;20:50:00;DKKRR;ICELANDICA HAV;Bahamas;8128884;C6VC3;1513;82.31;DAN SHIPPING & TRADING Co. Ltd. ;POLICE PORT MORSKI
PLPLC;2010-12-23;20:30:00;LTKLJ;OMSKIY 134;Russian Federation;8881711;UCIF;2544;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2010-12-26;14:00:00;LVVNT;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Barkowy
PLPLC;2010-12-26;20:00:00;NLRTM;STORRINGTON;United Kingdom;8107000;GCBZ;7788;137.57;Unibaltic Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2010-12-28;20:00:00;LTKLJ;VOLGOBALT 244;Russian Federation;8230584;UAKW;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Barkowy
PLPLC;2010-12-30;20:20:00;SEOXE;TINTO;Sweden;7608710;SMVP;1191;74.74;AHLMANN ZERSSEN Sp. z o.o.;Police Port Morski
PLPLC;2010-12-30;20:40:00;LVVNT;VOLGOBALT 243;Russian Federation;8230572;UAKV;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Barkowy
PLPLC;2010-12-30;02:10:00;ESSCI;EEMS STAR;Netherlands;9421659;PHMP;1862;87.20;Ger Pol Shipping & Forwarding Co. Ltd. ;Port Morski Police
PLPLC;2010-12-31;01:10:00;NLSLU;CORAL OBELIA;Netherlands;9053816;PDKU;3853;92.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Mijanka
PLPLC;2010-12-31;14:00:00;PLSZZ;M/T PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;nab. Police Mijanka
PLPLC;2011-01-01;20:55:00;NOSVG;NINA;Bahamas;9156199;C6WA8;1864;82.45;Wilhelmsen Ships Service Polska Sp. z o.o. ;BARKOWY
PLPLC;2011-01-01;20:15:00;LTKLJ;OMSKIY 134;Russian Federation;8881711;U C I F;2544;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;BARKOWY
PLPLC;2011-01-01;20:00:00;DKHOR;SOLVEIG K;Antigua and Barbuda;7723687;V2LG;1678;72.30;KOSIOR SHIPPING COMPANY Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-01-02;08:45:00;MACAS;OKSYWIE;Liberia;8502547;A8DS8;21460;195.27;POLSTEAM SHIPPING AGENCY Ltd.;Police port morski
PLPLC;2011-01-03;19:00:00;LVVNT;VOLGOBALT 238;Russian Federation;8230522;UIDA;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Port Barkowy
PLPLC;2011-01-03;19:00:00;GBLEI;ARKLOW FREEDOM;Ireland;9361756;EIEX9;2998;89.95;KOSIOR SHIPPING COMPANY Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-01-05;23:00:00;LVVNT;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-01-05;23:45:00;TNSFA;ISOLDA;Cyprus;9180360;P3JE8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;Police Port Morski
PLPLC;2011-01-05;20:00:00;EESLM;CORAL OBELIA;Netherlands;9053816;PDKU;3853;92.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Mijanka Police
PLPLC;2011-01-06;09:20:00;PLSZZ;M/T PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;nab. Police Port Morski
PLPLC;2011-01-06;18:30:00;NOTSX;AASVIK;Norway;8500898;LAPE5;3088;94.40;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2011-01-08;09:45:00;PLSZZ;KELT;Netherlands;9489534;PBTL;2409;82.50;KOSIOR SHIPPING COMPANY Sp. z o.o.;POLICE PORT MORSKI
